"","Workout","Timestamp","Live.On.Demand","Instructor.Name","Length..minutes.","Fitness.Discipline","Type","Title","Class.Timestamp","Total.Output","Avg..Watts","Avg..Resistance","Avg..Cadence..RPM.","Avg..Speed..kph.","Distance..km.","Calories.Burned","Avg..Heartrate","Avg..Incline","Avg..Pace..min.km."
"66","2021-02-13","10:18","On Demand","Leanne Hainsby",10,"Cycling","Warm Up/Cool Down","10 min Cool Down Ride","2021-02-11 06:25 (EDT)",32,53,"37%",59,19.26,3.2,96,142,NA,NA
"67","2021-02-14","13:59","On Demand","Leanne Hainsby",30,"Cycling","Beginner","30 min Advanced Beginner Ride","2021-01-27 01:30 (EDT)",130,72,"41%",57,21.02,10.51,333,155,NA,NA
"68","2021-02-15","10:26","On Demand","Leanne Hainsby",20,"Cycling","Beginner","20 min Beginner Ride","2020-09-10 01:00 (EDT)",90,75,"37%",69,22.06,7.35,202,146,NA,NA
"69","2021-02-15","10:49","On Demand","Leanne Hainsby",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2021-01-13 01:15 (EDT)",NA,NA,"",NA,NA,NA,14,NA,NA,NA
"70","2021-02-16","10:38","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min 2010s Ride","2021-02-01 02:56 (EDT)",79,66,"35%",68,20.92,6.97,210,149,NA,NA
"71","2021-02-17","10:47","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min 2010s Ride","2021-02-01 02:56 (EDT)",88,73,"37%",68,21.9,7.31,212,152,NA,NA
"72","2021-02-17","11:09","On Demand","Leanne Hainsby",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2021-01-13 01:15 (EDT)",NA,NA,"",NA,NA,NA,14,NA,NA,NA
"73","2021-02-18","10:16","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 2010s Ride","2020-12-22 08:00 (EDT)",142,79,"43%",57,21.42,10.7,324,152,NA,NA
"74","2021-02-18","10:50","On Demand","Leanne Hainsby",5,"Cycling","Warm Up/Cool Down","5 min Cool Down Ride","2019-11-28 04:22 (EDT)",15,50,"34%",63,18.36,1.51,43,136,NA,NA
"75","2021-02-18","11:00","On Demand","Ally Love",10,"Strength","Arms & Light Weights","10 min Arms Toning","2021-02-14 12:35 (EDT)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"76","2021-02-19","10:39","On Demand","Leanne Hainsby",30,"Cycling","Music","30 min 2010s Ride","2020-12-22 08:00 (EDT)",129,72,"39%",62,21.16,10.57,277,139,NA,NA
"77","2021-02-19","11:12","On Demand","Leanne Hainsby",5,"Stretching","Pre & Post-Ride Stretch","5 min Post-Ride Stretch","2021-01-13 01:15 (EDT)",NA,NA,"",NA,NA,NA,14,NA,NA,NA
"78","2021-02-21","10:49","On Demand","Leanne Hainsby",30,"Cycling","Beginner","30 min Advanced Beginner Ride","2021-01-27 01:30 (EDT)",139,77,"42%",57,21.4,10.7,303,146,NA,NA
"79","2021-02-21","11:23","On Demand","Leanne Hainsby",10,"Strength","Arms & Light Weights","10 min Arms Toning","2021-02-09 09:32 (EDT)",NA,NA,"",NA,NA,NA,58,NA,NA,NA
"80","2021-02-22","14:46","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min 2010s Ride","2021-02-01 02:56 (EDT)",93,77,"38%",68,22.27,7.42,213,151,NA,NA
"81","2021-02-23","10:50","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min 2010s Ride","2021-02-01 02:56 (EDT)",93,77,"39%",63,21.74,7.26,193,143,NA,NA
"82","2021-02-25","10:32","On Demand","Leanne Hainsby",20,"Cycling","Music","20 min Pop Ride","2021-02-22 02:55 (-05)",108,90,"42%",63,23.17,7.72,214,150,NA,NA
